Type;Method;Mode;Platform;Jit;Toolchain;Runtime;GcMode;LaunchCount;WarmupCount;TargetCount;Affinity;Median;StdDev;Scaled;Scaled-SD;Gen 0;Gen 1;Gen 2;Bytes Allocated/Op
LookupInOldMaps;dict;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;80.9983 ns;1.7284 ns;1.00;0.00;-;-;-;0.01
LookupInOldMaps;fsmap;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;213.8007 ns;14.9382 ns;2.74;0.19;41.00;-;-;1.99
LookupInOldMaps;immMap;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;175.7655 ns;9.2337 ns;2.22;0.12;39.81;-;-;1.91
LookupInOldMaps;primeVmap;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;130.9478 ns;5.3403 ns;1.64;0.07;135.42;-;-;6.23
LookupInOldMaps;primeUmap;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;292.6952 ns;16.2444 ns;3.64;0.21;177.23;1.96;-;8.42
