Type;Method;Mode;Platform;Jit;Toolchain;Runtime;GcMode;LaunchCount;WarmupCount;TargetCount;Affinity;Median;StdDev;Scaled;Scaled-SD;Gen 0;Gen 1;Gen 2;Bytes Allocated/Op
LookupInMapMiss;dictMiss;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;32.2286 ns;0.8137 ns;1.00;0.00;0.60;0.30;-;0.05
LookupInMapMiss;fsmapMiss;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;168.8917 ns;4.1554 ns;5.15;0.18;2.00;1.00;-;0.17
LookupInMapMiss;immMapMiss;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;49.8266 ns;0.9238 ns;1.55;0.05;1.02;0.51;-;0.09
LookupInMapMiss;primeVmapMiss;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;40.4321 ns;2.6664 ns;1.26;0.09;0.60;0.30;-;0.05
LookupInMapMiss;primeUmapMiss;Throughput;Host;Host;Host;Host;Host;Auto;Auto;Auto;Auto;52.5370 ns;3.3153 ns;1.64;0.11;385.57;0.57;-;7.11
